Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Fall,"Mashiter, Ian",SI444,A1,Entrepreneurship,27,4.52,27,4.7,87%,2012
Spring,"Mashiter, Ian",SI444,A1,Entrepreneurship,35,4.34,34,4.62,88%,2012
Fall,"Mashiter, Ian",SI445,A1,Small Business Management,17,4.35,17,4.76,68%,2012
Spring,"Mashiter, Ian",SI445,A1,Small Business Management,12,5,12,5,100%,2012
Spring,"Molander, Erik",SI445,B1,Small Business Management,22,4.32,22,4.23,85%,2012
Spring,"O'Mahony, Siobhan",SI451,A1,Organizing for Design and Innovation,13,4.62,13,4.69,100%,2012
Spring,"Fabrizio, Kira",SI453,A1,Strategies for Environmental Sustainability,15,4.47,15,4.67,100%,2012
Spring,"Stolow, David",SI455,A1,Leadership and Management of Nonprofit Organizations,9,4.89,9,4.89,100%,2012
Spring,"Munsell, Keith",SI469,A1,Real Estate Development,13,4.54,13,4.77,87%,2012
Spring,"Wang, Yanbo",SI471,A1,International Entrepreneurship,21,4.29,21,4.52,78%,2012
Spring,"Wang, Yanbo",SI471,B1,International Entrepreneurship,14,4.57,14,4.79,67%,2012
Fall,"Levine, Paul",SI480,A1,The Business of Technology Innovation,38,4.87,38,5,88%,2012
Spring,"Levine, Paul",SI480,A1,The Business of Technology Innovation,26,4.69,26,4.96,70%,2012
Fall,"Uttam, Bahar",SI480,B1,The Business of Technology Innovation,28,4.32,28,4.32,97%,2012
Spring,"Uttam, Bahar",SI480,B1,The Business of Technology Innovation,26,4.35,26,4.46,87%,2012
Fall,"Katz, Liz",SM090,A1,Leadership Seminar,22,4.32,22,4.73,88%,2012
Summer,"Allen, Jeffrey",SM101,A1,Introduction to Business (for non-majors),17,4.65,17,4.88,85%,2012
Summer,"Morrison, Paul",SM101,B1,Introduction to Business (for non-majors),20,4.2,20,4.65,91%,2012
Summer,"Wilson, Raymond",SM104,A1,Introduction to Finance (for non-majors),12,4.75,12,4.92,75%,2012
Summer,"Crowley, Mark",SM104,B1,Introduction to Finance (for non-majors),17,4.47,17,4.65,74%,2012
Summer,"Utter, Deborah",SM105,A1,Introduction to Marketing (for non-majors),18,4.39,18,4.44,100%,2012
Fall,"Newell, Cornelia",SM121,B0,Management as a System,37,4.19,37,4.86,90%,2012
Fall,"Nichols, Rebecca",SM121,B1,Management as a System,39,4.33,39,4.51,98%,2012
Fall,"Wilson, Raymond",SM121,B2,Management as a System,33,4.48,34,4.88,89%,2012
Fall,"Roberts, Mark",SM121,B3,Management as a System,38,4.24,38,4.53,95%,2012
Fall,"Nichols, Rebecca",SM121,B4,Management as a System,36,4.42,36,4.75,100%,2012
Fall,"Wilson, Raymond",SM121,B5,Management as a System,37,4.78,37,4.95,97%,2012
Fall,"Winn, Joseph",SM121,B6,Management as a System,38,4.53,38,4.82,100%,2012
Fall,"Newell, Cornelia",SM121,B7,Management as a System,37,4.32,37,4.84,93%,2012
Fall,"Roberts, Mark",SM121,B8,Management as a System,38,4.21,38,4.39,97%,2012
Fall,"Winn, Joseph",SM121,B9,Management as a System,38,4.53,38,4.82,93%,2012
Spring,"Nichols, Rebecca",SM122,B1,Management as a System,31,4.29,31,4.48,97%,2012
Spring,"Wilson, Raymond",SM122,B2,Management as a System,35,4.29,35,4.66,95%,2012
Spring,"Roberts, Mark",SM122,B3,Management as a System,27,4.3,27,4.15,75%,2012
Spring,"Nichols, Rebecca",SM122,B4,Management as a System,40,4.4,39,4.74,100%,2012
Spring,"Wilson, Raymond",SM122,B5,Management as a System,36,4.56,36,4.97,97%,2012
Spring,"Winn, Joseph",SM122,B6,Management as a System,35,4.43,35,4.86,92%,2012
Spring,"Newell, Cornelia",SM122,B7,Management as a System,34,4.21,33,4.7,87%,2012
Spring,"Roberts, Mark",SM122,B8,Management as a System,35,4.4,35,4.37,92%,2012
Spring,"Arnold, Peter",SM122,B9,Management as a System,36,4.14,36,4.47,97%,2012
Fall,"Randall, David",SM123,A1,Honors Program Freshman Colloquium,22,4.5,22,4.86,100%,2012
Spring,"Post, James",SM124,A1,Honors Program Freshman Colloquium,17,4.06,18,4.72,85%,2012
Fall,"Kean, Mark",SM221,A1,Probablistic & Statistical Decision Making for Management,184,4.14,185,4.69,71%,2012
Spring,"Kean, Mark",SM221,A1,Probablistic & Statistical Decision Making for Management,108,4.3,108,4.8,57%,2012
Summer,"Kean, Mark",SM221,A1,Probablistic & Statistical Decision Making for Management,43,4.49,43,4.86,90%,2012
Fall,"Kean, Mark",SM221,A2,Probablistic & Statistical Decision Making for Management,162,4.24,161,4.79,66%,2012
Summer,"Kean, Mark",SM221,A2,Probablistic & Statistical Decision Making for Management,44,4.18,44,4.95,96%,2012
Summer,"Parker, Kenneth",SM221,A3,Probablistic & Statistical Decision Making for Management,26,4.38,26,4.62,79%,2012
Fall,"Kean, Mark",SM221,B1,Probablistic & Statistical Decision Making for Management,42,4.4,42,4.86,86%,2012
Spring,"Kean, Mark",SM221,B1,Probablistic & Statistical Decision Making for Management,33,4.52,33,4.88,80%,2012
Summer,"Parker, Kenneth",SM221,B1,Probablistic & Statistical Decision Making for Management,14,3.86,14,4,88%,2012
Fall,"Kean, Mark",SM221,B2,Probablistic & Statistical Decision Making for Management,35,4.31,35,4.71,71%,2012
Spring,"Kean, Mark",SM221,B2,Probablistic & Statistical Decision Making for Management,31,4.52,31,4.84,70%,2012
Fall,"Kean, Mark",SM221,B3,Probablistic & Statistical Decision Making for Management,40,4.43,40,4.93,83%,2012
Spring,"Kean, Mark",SM221,B3,Probablistic & Statistical Decision Making for Management,29,4.45,29,4.9,71%,2012
Fall,"Parker, Kenneth",SM221,B4,Probablistic & Statistical Decision Making for Management,43,4.16,44,4.64,90%,2012
Spring,"Kean, Mark",SM221,B4,Probablistic & Statistical Decision Making for Management,33,4.21,33,4.88,80%,2012
Fall,"Kean, Mark",SM221,B5,Probablistic & Statistical Decision Making for Management,41,4.46,41,4.95,76%,2012
Spring,"Parker, Kenneth",SM221,B5,Probablistic & Statistical Decision Making for Management,17,4.53,17,4.82,81%,2012
Fall,"Kadets, Barry",SM221,B6,Probablistic & Statistical Decision Making for Management,33,3.91,33,4.45,73%,2012
Fall,"Parker, Kenneth",SM221,B7,Probablistic & Statistical Decision Making for Management,41,4.17,41,4.63,76%,2012
Fall,"Kim, Soyean (Julia)",SM221,B8,Probablistic & Statistical Decision Making for Management,29,3.66,29,4.03,63%,2012
Fall,"Parker, Kenneth",SM221,B9,Probablistic & Statistical Decision Making for Management,46,4.22,46,4.72,88%,2012
Fall,"Liu, Jingshu",SM221,C1,Probablistic & Statistical Decision Making for Management,9,3.44,9,3.33,39%,2012
Fall,"Parker, Kenneth",SM221,C2,Probablistic & Statistical Decision Making for Management,38,4.26,38,4.87,100%,2012
Summer,"Osher, Keith",SM222,A1,Modeling Business Decisions & Market Outcomes,38,3.87,38,4.03,70%,2012
Fall,"Kahn, Shulamit",SM222,B1,Modeling Business Decisions & Market Outcomes,37,3.59,37,3.49,93%,2012
Spring,"Vidal-Robert, Jordi",SM222,B1,Modeling Business Decisions & Market Outcomes,42,3.21,42,3.43,95%,2012
Fall,"Ericson, Keith",SM222,B2,Modeling Business Decisions & Market Outcomes,34,3.5,34,3.38,72%,2012
Spring,"Osher, Keith",SM222,B2,Modeling Business Decisions & Market Outcomes,30,3.5,30,3.63,77%,2012
Fall,"Ericson, Keith",SM222,B3,Modeling Business Decisions & Market Outcomes,32,3.34,32,3.19,70%,2012
Spring,"Osher, Keith",SM222,B3,Modeling Business Decisions & Market Outcomes,28,3.61,28,3.82,72%,2012
Spring,"Fraile, Miguel",SM222,B4,Modeling Business Decisions & Market Outcomes,44,3.52,44,3.43,80%,2012
Fall,"Kahn, Shulamit",SM222,B5,Modeling Business Decisions & Market Outcomes,36,3.69,36,3.53,75%,2012
Spring,"Cortes, Patricia",SM222,B5,Modeling Business Decisions & Market Outcomes,28,3.64,28,3.86,80%,2012
Fall,"Ericson, Keith",SM222,B6,Modeling Business Decisions & Market Outcomes,29,3.62,29,3.24,85%,2012
Spring,"Osher, Keith",SM222,B6,Modeling Business Decisions & Market Outcomes,34,3.82,34,3.79,87%,2012
Spring,"Cortes, Patricia",SM222,B7,Modeling Business Decisions & Market Outcomes,40,3.73,40,3.7,71%,2012
Spring,"Gee, Evan",SM222,B8,Modeling Business Decisions & Market Outcomes,32,3.88,32,3.66,84%,2012
Spring,"Cortes, Patricia",SM222,B9,Modeling Business Decisions & Market Outcomes,34,3.56,34,3.56,92%,2012
Spring,"Kahn, Shulamit",SM222,C1,Modeling Business Decisions & Market Outcomes,42,3.9,42,3.98,76%,2012
Spring,"Kahn, Shulamit",SM224,B1,Modeling Business Decisions & Market Outcomes (HONORS),23,4.43,23,4.3,88%,2012
Fall,"Randall, David",SM233,A1,Honors Program Sophomore Colloquium,31,4.26,31,4.87,100%,2012
Fall,"Dixon, J. Robb",SM299,B1,Management as a System (Intensive),38,4.18,38,4.34,100%,2012
Spring,"Dixon, J. Robb",SM299,B1,Management as a System (Intensive),35,4.49,35,4.74,90%,2012
Fall,"Stolow, David",SM299,B2,Management as a System (Intensive),35,4.31,34,4.94,97%,2012
Spring,"Davidson, Stephen",SM299,B2,Management as a System (Intensive),29,3.97,28,3.14,83%,2012
Fall,"Nichols, Rebecca",SM299,B3,Management as a System (Intensive),35,4.43,35,4.8,95%,2012
Spring,"Newell, Cornelia",SM299,B3,Management as a System (Intensive),34,4.09,34,4.68,83%,2012
Fall,"Davidson, Stephen",SM299,B4,Management as a System (Intensive),35,3.83,35,3.6,92%,2012
Spring,"Roberts, Mark",SM299,B4,Management as a System (Intensive),37,4.14,37,4.62,93%,2012
Fall,"Nichols, Rebecca",SM299,B5,Management as a System (Intensive),34,4.26,34,4.82,94%,2012
Spring,"Newell, Cornelia",SM299,B5,Management as a System (Intensive),34,4.15,34,4.53,85%,2012
Fall,"Roberts, Mark",SM299,B6,Management as a System (Intensive),35,4.06,35,4.57,97%,2012
Spring,"Davidson, Stephen",SM299,B6,Management as a System (Intensive),29,4.07,29,3.83,85%,2012
Fall,"Newell, Cornelia",SM299,B7,Management as a System (Intensive),30,3.9,30,4.67,91%,2012
Spring,"Nichols, Rebecca",SM299,B7,Management as a System (Intensive),29,4.21,29,4.79,78%,2012
Fall,"Newell, Cornelia",SM299,B8,Management as a System (Intensive),34,4.41,34,4.76,92%,2012
Spring,"Chadwick, Theodore",SM299,B8,Management as a System (Intensive),36,4.06,36,3.89,97%,2012
Spring,"Nichols, Rebecca",SM299,B9,Management as a System (Intensive),29,4.31,29,4.69,91%,2012
Fall,"Wilson, Raymond",SM299,C1,Management as a System (Intensive),30,4.63,30,4.83,88%,2012
Summer,"Newell, Cornelia",SM299,C1,Management as a System (Intensive),28,4.36,28,4.79,93%,2012
Fall,"Henderson, Shelly",SM299,C2,Management as a System (Intensive),25,3.28,25,2.68,86%,2012
Summer,"Newell, Cornelia",SM299,C2,Management as a System (Intensive),24,4.54,24,4.88,96%,2012
Fall,"Davidson, Stephen",SM299,C3,Management as a System (Intensive),30,4.13,29,4.31,94%,2012
Fall,"Federico, Deborah",SM411,Z1,Charting Your Career Path,42,4.07,42,4.5,93%,2012
Spring,"Chiang, Caroline",SM411,Z1,Charting Your Career Path,50,3.72,49,4.49,91%,2012
Fall,"Reynolds, Christiana",SM411,Z2,Charting Your Career Path,42,3.98,42,4.38,93%,2012
Spring,"Chiang, Caroline",SM411,Z2,Charting Your Career Path,45,4.2,45,4.44,96%,2012
Fall,"Livengood, Jake",SM411,Z3,Charting Your Career Path,30,4.23,30,4.63,81%,2012
Spring,"Reynolds, Christiana",SM411,Z3,Charting Your Career Path,51,3.9,51,4.22,86%,2012
Fall,"Livengood, Jake",SM411,Z4,Charting Your Career Path,38,3.82,38,4.21,95%,2012
Spring,"Federico, Deborah",SM411,Z4,Charting Your Career Path,44,4.36,45,4.58,75%,2012
Fall,"Federico, Deborah",SM411,Z5,Charting Your Career Path,44,4.02,44,4.32,94%,2012
Spring,"Livengood, Jake",SM411,Z5,Charting Your Career Path,52,4.1,52,4.54,90%,2012
Fall,"Chiang, Caroline",SM411,Z6,Charting Your Career Path,51,4.25,51,4.57,88%,2012
Spring,"Livengood, Jake",SM411,Z6,Charting Your Career Path,47,4,47,4.49,85%,2012
Fall,"Reynolds, Christiana",SM411,Z7,Charting Your Career Path,43,4.23,43,4.58,75%,2012
Spring,"Reynolds, Christiana",SM411,Z7,Charting Your Career Path,30,3.97,30,4.4,77%,2012
Fall,"Chiang, Caroline",SM411,Z8,Charting Your Career Path,52,3.96,53,4.45,88%,2012
Spring,"Furman, Jeffrey",SM450,A1,Management Honors Seminar,29,4.52,29,4.9,94%,2012
Fall,"Randall, David",SM453,A1,Management Honors Seminar: Mistakes We Make: Improving Decision Making,10,4.9,10,5,83%,2012
Spring,"Joglekar, Nitin",SM454,A1,Management Honors Seminar:,6,5,6,4.83,100%,2012
Fall,"Smith, Donald",SM455,A1,Management Honors Seminar:,12,4.75,12,4.92,100%,2012
Spring,"Chang, Kabrina",SM456,A1,Management Honors Seminar: Creating Sustainable Food Systems,13,4.69,13,4.92,100%,2012
Fall,"Hagigi, Moshe",AC221,A1,Financial Accounting,51,4.45,51,4.55,93%,2013
Spring,"Li, Lynn",AC221,A1,Financial Accounting,24,3.58,24,3.92,75%,2013
Summer,"Malik, Mahfuja",AC221,A1,Financial Accounting,32,3.63,32,3.5,65%,2013
Summer,"Kelly, Paula",AC221,A2,Financial Accounting,42,3.88,42,4.12,82%,2013
Fall,"Dong, Qi Flora",AC221,B1,Financial Accounting,14,3.64,14,3.5,74%,2013
Spring,"Huang, Wenli",AC221,B1,Financial Accounting,42,4.02,42,4.14,88%,2013
Summer,"Wu, Eng",AC221,B1,Financial Accounting,18,3.89,18,3.72,75%,2013
Fall,"Hagigi, Moshe",AC221,C1,Financial Accounting,35,4.14,35,4.43,90%,2013
Spring,"Hagigi, Moshe",AC221,C1,Financial Accounting,45,4.2,45,4.44,90%,2013
Fall,"Wu, Eng",AC221,D1,Financial Accounting,40,3.45,40,3.6,80%,2013
Spring,"Huang, Wenli",AC221,D1,Financial Accounting,36,3.75,36,3.78,80%,2013
Fall,"Li, Lynn",AC221,E1,Financial Accounting,44,4.18,44,4.52,86%,2013
Spring,"Wu, Eng",AC221,E1,Financial Accounting,42,3.14,42,3.12,75%,2013
Fall,"Li, Lynn",AC221,F1,Financial Accounting,45,4.36,45,4.62,98%,2013
Spring,"Li, Lynn",AC221,F1,Financial Accounting,54,4.09,54,4.33,90%,2013
Fall,"Albuquerque, Ana",AC221,G1,Financial Accounting,45,4.09,45,4.29,88%,2013
Spring,"Wu, Eng",AC221,G1,Financial Accounting,41,3.05,41,2.73,75%,2013
Fall,"Wu, Eng",AC221,H1,Financial Accounting,16,3.88,16,4.19,84%,2013
Fall,"Hagigi, Moshe",AC221,I1,Financial Accounting,50,4.26,49,4.49,86%,2013
Fall,"Hagigi, Moshe",AC221,J1,Financial Accounting,52,4.58,53,4.62,93%,2013
Fall,"Li, Lynn",AC221,K1,Financial Accounting,50,4.46,51,4.69,88%,2013
Fall,"Wu, Eng",AC221,L1,Financial Accounting,7,3,7,2.71,50%,2013
Fall,"Wu, Eng",AC221,M1,Financial Accounting,36,3.36,36,3.64,69%,2013
Fall,"Andrade, Donald",AC222,A1,Managerial Accounting,29,4.14,29,4.24,64%,2013
Spring,"White, James",AC222,A1,Managerial Accounting,43,3.98,43,4.44,86%,2013
Summer,"Wilson, Raymond",AC222,A2,Managerial Accounting,38,4.74,37,4.92,90%,2013
Fall,"Andrade, Donald",AC222,B1,Managerial Accounting,29,3.97,29,4.31,81%,2013
Spring,"Doherty, Patricia",AC222,B1,Managerial Accounting,19,3.74,19,4.05,53%,2013
Summer,"Asadoorian, Ann Marie",AC222,B1,Managerial Accounting,27,4.19,27,4.48,68%,2013
Fall,"Asadoorian, Ann Marie",AC222,C1,Managerial Accounting,47,3.91,46,4.43,94%,2013
Spring,"Doherty, Patricia",AC222,C1,Managerial Accounting,22,3.73,22,3.77,61%,2013
Fall,"White, James",AC222,D1,Managerial Accounting,19,3.89,19,4.47,50%,2013
Spring,"Doherty, Patricia",AC222,D1,Managerial Accounting,31,3.84,31,3.87,61%,2013
Fall,"Asadoorian, Ann Marie",AC222,E1,Managerial Accounting,19,4.26,20,4.65,73%,2013
Spring,"Asadoorian, Ann Marie",AC222,E1,Managerial Accounting,26,3.85,25,4.36,60%,2013
Fall,"Doherty, Patricia",AC222,F1,Managerial Accounting,31,3.94,31,4.13,67%,2013
Spring,"Doherty, Patricia",AC222,F1,Managerial Accounting,25,3.96,25,4.12,63%,2013
Fall,"Doherty, Patricia",AC222,G1,Managerial Accounting,33,3.33,33,3.42,73%,2013
Spring,"Wilson, Raymond",AC222,G1,Managerial Accounting,42,4.38,42,4.83,71%,2013
Fall,"Doherty, Patricia",AC222,H1,Managerial Accounting,36,3.19,36,3.33,78%,2013
Spring,"Andrade, Donald",AC222,H1,Managerial Accounting,35,3.63,36,3.89,74%,2013
Spring,"Asadoorian, Ann Marie",AC222,I1,Managerial Accounting,39,4.31,39,4.64,83%,2013
Spring,"Asadoorian, Ann Marie",AC222,J1,Managerial Accounting,29,4.48,29,4.55,88%,2013
Spring,"Asadoorian, Ann Marie",AC222,K1,Managerial Accounting,40,4,40,4.3,77%,2013
Fall,"Albuquerque, Ana",AC347,A1,Intermediate Accounting I,26,4,26,4,72%,2013
Spring,"Wu, Eng",AC347,A1,Intermediate Accounting I,30,3.83,30,3.07,65%,2013
Fall,"Albuquerque, Ana",AC347,B1,Intermediate Accounting I,19,4.16,19,4.37,76%,2013
Spring,"Wu, Eng",AC347,B1,Intermediate Accounting I,34,3.91,34,3.47,76%,2013
Summer,"Wu, Eng",AC347,B1,Intermediate Accounting I,29,4,29,4.03,100%,2013
Fall,"Sivakumar, Kumar",AC348,A1,Intermediate Accounting II,27,4.22,27,4.41,63%,2013
Spring,"Hagigi, Moshe",AC348,A1,Intermediate Accounting II,28,4.14,28,4.07,82%,2013
Fall,"Sivakumar, Kumar",AC348,B1,Intermediate Accounting II,41,4.37,40,4.5,85%,2013
Spring,"Hagigi, Moshe",AC348,B1,Intermediate Accounting II,17,4.65,17,4.47,89%,2013
Fall,"Keating, Elizabeth",AC414,A1,Financial Statement Analysis,28,4,28,3.89,68%,2013
Spring,"Keating, Elizabeth",AC414,A1,Financial Statement Analysis,12,4.83,12,4.75,55%,2013
Fall,"Keating, Elizabeth",AC414,B1,Financial Statement Analysis,23,3.87,23,3.96,74%,2013
Spring,"Keating, Elizabeth",AC414,B1,Financial Statement Analysis,18,4.28,18,4.39,69%,2013
Spring,"White, James",AC430,A1,Accounting Research,27,3.52,27,4.19,93%,2013
Spring,"White, James",AC430,B1,Accounting Research,21,3.05,21,3.48,88%,2013
Spring,"Kirby Jones, Alison",AC445,A1,Advanced Managerial Accounting,22,3.73,22,3.86,88%,2013
Fall,"Kaufman, Peter",AC469,A1,Principles of Income Taxation I,26,4.15,26,3.96,65%,2013
Spring,"Kaufman, Peter",AC469,A1,Principles of Income Taxation I,44,4.3,44,4.14,81%,2013
Fall,"Kaufman, Peter",AC469,B1,Principles of Income Taxation I,38,4,39,3.56,152%,2013
Spring,"Seltz, William",AC541,A1,Advanced Accounting,24,3.67,24,3.42,75%,2013
Summer,"Seltz, William",AC541,A1,Advanced Accounting,4,4.5,3,5,57%,2013
Spring,"Wass, Russell",AC565,A1,Auditing,24,4.79,24,4.96,100%,2013
Summer,"Wass, Russell",AC565,A1,Auditing,5,4.6,5,5,71%,2013
Spring,"Wass, Russell",AC565,B1,Auditing,48,4.79,48,4.92,83%,2013
Fall,"Roberts, Mark",FE101,B2,Introduction to Finance,37,4,36,4.19,88%,2013
Fall,"Roberts, Mark",FE101,B3,Introduction to Finance,39,3.97,39,4.08,93%,2013
Fall,"Chadwick, Theodore",FE101,C2,Introduction to Finance,36,3.75,36,4.11,86%,2013
Fall,"Chadwick, Theodore",FE101,C3,Introduction to Finance,35,4.2,35,4.54,83%,2013
Fall,"Roberts, Mark",FE101,D2,Introduction to Finance,38,4.26,38,4.47,93%,2013
Fall,"Roberts, Mark",FE101,D3,Introduction to Finance,37,4.22,37,4.51,93%,2013
Fall,"Chadwick, Theodore",FE101,E2,Introduction to Finance,31,3.81,30,3.83,78%,2013
Fall,"Chadwick, Theodore",FE101,E3,Introduction to Finance,32,3.97,32,4.19,80%,2013
Fall,"Hamid, Shaikh",FE101,E4,Introduction to Finance,32,3.31,32,3.31,78%,2013
Fall,"Hamid, Shaikh",FE101,E5,Introduction to Finance,31,2.9,31,2.74,76%,2013
Fall,"Hamid, Shaikh",FE323,A1,Financial Management,49,3.71,49,3.33,100%,2013
Spring,"Osher, Keith",FE323,A1,Financial Management,46,3.91,46,3.39,96%,2013
Fall,"Osher, Keith",FE323,A2,Financial Management,40,3.95,41,4.2,82%,2013
Spring,"Griner, Kathryn",FE323,A2,Financial Management,35,4.6,35,4.66,97%,2013
Fall,"Jacquier, Eric",FE323,A3,Financial Management,41,3.9,41,3.8,89%,2013
Fall,"Chadwick, Theodore",FE323,A4,Financial Management,38,4.42,38,4.45,100%,2013
Fall,"Wilson, Raymond",FE323,A5,Financial Management,49,4.69,49,4.78,100%,2013
Fall,"Griner, Kathryn",FE323,A6,Financial Management,37,4.7,37,4.76,100%,2013
Fall,"Griner, Kathryn",FE323,B1,Financial Management,50,4.56,50,4.48,100%,2013
Spring,"Zhao, Mengxin",FE323,B1,Financial Management,37,4.35,37,4.32,80%,2013
Fall,"Osher, Keith",FE323,B2,Financial Management,45,4.07,46,4.09,90%,2013
Spring,"Chadwick, Theodore",FE323,B2,Financial Management,34,4.41,34,4.5,94%,2013
Fall,"Jacquier, Eric",FE323,B3,Financial Management,43,4.12,43,4.42,86%,2013
Spring,"Griner, Kathryn",FE323,B3,Financial Management,44,4.39,45,4.4,96%,2013
Fall,"Chadwick, Theodore",FE323,B4,Financial Management,36,4.44,36,4.44,97%,2013
Fall,"Spieler, David",FE323,B5,Financial Management,48,3.79,48,3.75,98%,2013
Fall,"Albuquerque, Rui",FE427,A1,International Financial Management,32,3.31,31,3.55,71%,2013
Spring,"Albuquerque, Rui",FE427,A1,International Financial Management,42,4.17,43,4.35,71%,2013
Fall,"Roberts, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",39,4,39,4.18,93%,2013
Spring,"Williams, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",47,4.45,47,4.55,87%,2013
Summer,"Roberts, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",22,4.32,23,4.26,96%,2013
Fall,"Williams, Mark",FE442,B1,"Money, Financial Markets & Economic Activity",30,4.4,30,4.47,71%,2013
Spring,"Spieler, David",FE442,B1,"Money, Financial Markets & Economic Activity",23,4.7,23,4.96,51%,2013
Fall,"Williams, Mark",FE442,C1,"Money, Financial Markets & Economic Activity",50,4.56,50,4.58,93%,2013
Spring,"Williams, Mark",FE442,C1,"Money, Financial Markets & Economic Activity",41,4.61,41,4.8,91%,2013
Fall,"Spieler, David",FE442,D1,"Money, Financial Markets & Economic Activity",21,4.48,21,4.67,88%,2013
Spring,"Roberts, Mark",FE442,D1,"Money, Financial Markets & Economic Activity",33,4.18,33,4.45,89%,2013
Fall,"Zawadowski, Adam",FE445,A1,Investment Analysis and Portfolio Management,26,4.42,26,4.42,70%,2013
